"variable","description"
"manipCheckPre","You may go back to the previous page before answering this comprehension question. Please answer carefully, as an incorrect answer may affect your submission.

Briefly, can you restate, in your own words, what we just told you about the other person that you were matched with in the main task?"
"dgFirstClickSecs","Time (in seconds) to first click on the Dictator Game decision screen"
"dgLastClickSecs","Time (in seconds) to last click on the Dictator Game decision screen"
"dgPageSubmitSecs","Time (in seconds) to page submission on the Dictator Game decision screen"
"dgClickCount","Number of clicks on the Dictator Game decision screen"
"dgAmountGiven","Amount given in USD in Dictator Game"
"explanation","Thank you for submitting your decision. We have recorded the amount you chose to give to the other person.

Please now complete some follow-up questions on the next few pages.

Briefly, why did you choose the amount that you did?"
"experience","How much experience have you had with economic decision-making studies (i.e., decisions involving real money) on Prolific?"
"manipCheckPost","Briefly, can you recall what we told you about the other person that you were matched with in the main task? Try to recall as much as you can."
"studyPurpose","If you had to guess, what do you think we were trying to study in this survey?"
"debrief","Thank you for completing the follow-up questions.



You earned $[Field-AmountEarned] in the main task. We will pay this as a bonus payment after the study.



In the main task, you were not actually matched with anyone. This was part of our experimental manipulation. We were interested in how time pressure or time delay, along with perceptions of the other ""person"", would affect people's giving decisions. You were told that you were matched with either (1) a random participant from Prolific, (2) someone who lacks regular access to food and receives several of their meals at a local soup kitchen, or (3) someone who had transferred you money before the study. However, because of the infeasibility of matching you with people from very low-income backgrounds, there is actually no other random person.



Instead, we will donate the money that you gave to a charity called Elijah's Promise (https://elijahspromise.org/) based in New Brunswick, New Jersey. This charity runs a local soup kitchen to help alleviate hunger amongst low-income residents.


Please let us know below if you would like to withdraw your data and return your submission in light of the true nature of the study."
"prolificApprovals","Prolific demographic data: Number of Prolific approvals"
"fluentLanguages","Prolific demographic data: Languages spoken fluently"
"age","Prolific demographic data: Age in years"
"sex","Prolific demographic data: Sex"
"ethnicity","Prolific demographic data: Ethnicity"
"countryBirth","Prolific demographic data: Country of birth"
"countryResidence","Prolific demographic data: Country of residence"
"nationality","Prolific demographic data: Nationality"
"language","Prolific demographic data: Language"
"student","Prolific demographic data: Student status"
"employment","Prolific demographic data: Employment status"
