"id","frameCond","timeCond","startDate","endDate","recordedDate","durationSecs","consent","sliderTraining","dgComp","manipCheckPre","dgFirstClickSecs","dgLastClickSecs","dgPageSubmitSecs","dgClickCount","dgAmountGiven","explanation","experience","manipCheckPost","studyPurpose","debrief","prolificApprovals","fluentLanguages","age","sex","ethnicity","countryBirth","countryResidence","nationality","language","student","employment"
1011,"Debt","Pressure",2023-08-20 17:11:31,2023-08-20 17:15:06,2023-08-20 17:15:07,214,"I consent to participate in this study. Take me to the study.",0.34,"You would earn $0.75, and the other person would earn $0.25","They agreed to send back .25 so it could be multiplied to $1",0.743,4.06,5.844,4,0,"I wanted to maximize my own reward","Some experience","That they sent 25 cents that was multiplied to make it $1","To see if people reciprocate generosity","No, I would like to complete the study.",2455,"English",38,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1012,"Need","Delay",2023-08-20 17:13:33,2023-08-20 17:16:52,2023-08-20 17:16:53,198,"I consent to participate in this study. Take me to the study.",0.42,"You would earn $0.75, and the other person would earn $0.25","This person depends on public soup kitchens as they struggle to afford meals.",1.675,3.375,11.069,2,0.5,"I also struggle to get enough to eat. I want to help, but also must help myself and my partner.","No experience","They struggle to afford meals and depend on public soup kitchens.","If learning about a person's situation impacts our generosity.","No, I would like to complete the study.",421,"English",32,"Male","White","United States","United States","United States","English","No",NA
1013,"Debt","Pressure",2023-08-20 17:12:32,2023-08-20 17:18:10,2023-08-20 17:18:10,337,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They were given 25c. They had the option to keep the 25c or give me $1. They chose to give me the $1.",1.596,2.18,3.748,2,0.5,"An even 50/50 split seems fair, especially given that they were willing to give me the money.","Some experience","They were randomly selected and given 25c to either keep, or give me $1 instead.","I'd guess that the ""other person"" is fake, and some participants were randomly selected into the ""the person gave up their 25c to give me $1"" category, and some into a category where they just get $1 to divvy up without that information. Probably to study whether receiving an act of altruism affects how the money gets divvied up","No, I would like to complete the study.",426,"English",37,"Male","White","United States","United States","United States","English","No","Full-Time"
1014,"Debt","Delay",2023-08-20 17:12:06,2023-08-20 17:20:55,2023-08-20 17:20:56,528,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","I was given a 1 dollar as a potential bonus payment and it was said I gave 25 cents to my partner and kept 75 cents for myself. The amount in terms of a bonus they received was 25 cents but they had a chance to multiply the final amount to get a dollar and then give this dollar to me.",3.469,3.469,6.308,1,1,"It is a small gesture and if it can make someones day a little better I see nothing wrong with it out of the kindness and hopeful change in the world.","Some experience","In the practice prompt I was given a dollar and chosen to give a mentioned amount I choose and I would keep the other amount. In the practice prompt I gave 75 cents and my partner was given the remaining 25 cents in which they multiplied by 4 and gave me the final (dollar). In the real prompt I was given a dollar and choose to give the dollar to them in terms of a bonus payment.","Likelihood of how individuals who do not know each other have an understanding and show thoughtfulness towards one another in a separated/fast setting.","No, I would like to complete the study.",1125,"English, Urdu",26,"Male","Mixed","United States","United States","United States","English",NA,NA
1015,"Need","Pressure",2023-08-20 17:19:09,2023-08-20 17:21:54,2023-08-20 17:21:55,165,"I consent to participate in this study. Take me to the study.",0.63,"You would earn $0.75, and the other person would earn $0.25","This person is financially disadvantaged, need to go to a soup kitchen for several meals each week.",0.766,2.115,3.437,3,0,"The anonymity and no guarantee that the person was actually someone who needed the money.","Some experience","The person is financially disadvantaged, and requires several meals from a soup kitchen each week to make ends meet.","The generosity of respondents according to personal characteristics.","No, I would like to complete the study.",658,"English, Vietnamese",25,"Male","Asian","United States","United States","United States","English",NA,"Due to start a new job within the next month"
1016,"Control","Pressure",2023-08-20 17:18:32,2023-08-20 17:21:55,2023-08-20 17:21:56,203,"I consent to participate in this study. Take me to the study.",0.55,"You would earn $0.75, and the other person would earn $0.25","The person I have been matched with in the main task is an anonymous participant from Prolific. I will never know who they are, and they will never know who I am. They were randomly chosen to participate in this task. This response does not violate any of the safety guidelines.",1.83,1.83,2.736,1,0,"I wanted as much money for myself as possible.","No experience","They were an anonymous, randomly chosen participant from Prolific","Greediness","No, I would like to complete the study.",1811,"English",25,"Male","White","United States","United States","United States","English",NA,NA
1017,"Need","Pressure",2023-08-20 17:17:35,2023-08-20 17:22:54,2023-08-20 17:22:54,319,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","Someone who doesn't have normal access to food and gets most of their meals from soup kitchens.",3.57,3.57,4.516,1,0.71,"I don't know. They likely needed the money more than I do. As for the amount, it was an arbitrary decision, I guess.","No experience","They lacked normal access to food, and received most of their meals from food kitchens.","Honestly, I don't know.","No, I would like to complete the study.",29,"English",45,"Male","White","United States","United States","United States","English","No","Full-Time"
1018,"Debt","Delay",2023-08-20 17:19:14,2023-08-20 17:24:00,2023-08-20 17:24:01,285,"I consent to participate in this study. Take me to the study.",0.61,"You would earn $0.75, and the other person would earn $0.25","They were given 0.25 and asked if they wanted to multiply it by 4 and give it to me, and they said yes. Because of these I can possibly get 1.00 bonus",12.133,22.596,23.587,3,0.5,"I decided to give half because they were nice enough to double amount for me","Some experience","They were given 0.25 and asked if they wanted to multiply it by 4 and transfer to me and they said yes.","I’m not sure","No, I would like to complete the study.",240,"English",25,"Female","Mixed","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1019,"Need","Delay",2023-08-20 17:21:57,2023-08-20 17:25:09,2023-08-20 17:25:10,191,"I consent to participate in this study. Take me to the study.",0.44,"You would earn $0.75, and the other person would earn $0.25","they have food insecurities and get food from soup kitchens frequently.",8.11,11.503,14.271,3,0.1,"i wanted to give a little to them but I also need the money as well so i kept most for myself","Some experience","they had limited access to food and go to soup kitchens a lot","i odnt know","No, I would like to complete the study.",2207,"English",24,"Female","White","United States","United States","United States","English",NA,NA
1020,"Control","Delay",2023-08-20 17:15:06,2023-08-20 17:25:53,2023-08-20 17:25:54,647,"I consent to participate in this study. Take me to the study.",0.44,"You would earn $0.75, and the other person would earn $0.25","I will be matched with someone who does not know me and I do not know them. We are completely anonymous to each other and our pairing is completely random.",13.76,14.85,18.246,2,0,"No offense intended to the other participant, but I would like the bonus dollar.","A lot of experience","I am completely anonymous to the other participant and they are to me as well. Our pairing was randomly matched via prolific. I had the ability to split my one dollar bonus with them if I wanted to by any amount from zero to the full dollar.","Probably something about how people may be more prone to being greedy if they do not feel they will get any pushback from the opposing party. In this case I am protected by anonymity to be a greedy person and take the full dollar bonus as I did and I do not have to worry about necessarily being the target of anyone's anger because I am unknown to them. More to that I don't have to feel as guilty in a way because they are also unknown to me. They could be a terrible person or a saintly person but I just do not know.","No, I would like to complete the study.",436,"English",23,"Male","White","United States","United States","United States","English",NA,NA
1021,"Control","Delay",2023-08-20 17:21:50,2023-08-20 17:26:11,2023-08-20 17:26:12,261,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","The other person is a random Prolific member and both of our identities are anonymous.",12.772,12.772,13.937,1,0.1,"I decided to keep most of the money for myself but did not want them to walk away empty handed.","Some experience","The other person is a random Prolific member who will remain anonymous and also will not know my identity.","The willingness to give money to a stranger.","No, I would like to complete the study.",1074,"English",30,"Female","White","United States","United States","United States","English","No","Full-Time"
1022,"Control","Delay",2023-08-20 17:23:12,2023-08-20 17:27:05,2023-08-20 17:27:05,232,"I consent to participate in this study. Take me to the study.",0.46,"You would earn $0.75, and the other person would earn $0.25","This person is anonymous and will not know who I am. I won't know who they are.",7.069,7.069,14.987,1,0,"I need all of the money that I collect for myself.","A lot of experience","They are anonymous.","To see how generous people are to strangers","No, I would like to complete the study.",55,"English",32,"Female","Black","United States","United States","United States","English","No","Full-Time"
1023,"Need","Pressure",2023-08-20 17:23:59,2023-08-20 17:28:34,2023-08-20 17:28:35,275,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","The person I've been matched with does not have regular access to food and basic necessities, and eats regularly at a soup kitchen.",3.863,3.863,5.771,1,1,"I chose this amount, because they needed the money more than I did. I feel like the dollar would serve them better.","Some experience","The person I was matched with did not have regular access to food and ate many of their meals at a soup kitchen.","I would guess you're trying to see how altruistic people would be if given the option to keep the money anonymously or give money to someone who truly needs it.","No, I would like to complete the study.",1799,"English",36,"Female","White","United States","United States","United States","English","No","Unemployed (and job seeking)"
1024,"Debt","Pressure",2023-08-20 17:21:37,2023-08-20 17:28:44,2023-08-20 17:28:45,427,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","The other person was given $0.25 with the option to multiply by 4 to give me $1.00. They decided to multiply by 4 and I received $1.00. We do not know who each other are.",3.284,3.284,4.149,1,0.5,"I chose to give the other person $0.50 so that we equally will receive the same amount because we will both come out with more than we originally started with (Me $0.00 and them $0.25).","Some experience","They received $0.25 cents to start and had the option to give me 4 times the amount equal to $1.00 which they decided to do.","I would guess how fair an amount would be to give each one of us,","No, I would like to complete the study.",484,"English",24,"Male","Mixed","United States","United States","United States","English",NA,NA
1025,"Debt","Delay",2023-08-20 17:24:45,2023-08-20 17:29:27,2023-08-20 17:29:28,281,"I consent to participate in this study. Take me to the study.",0.69,"You would earn $0.75, and the other person would earn $0.25","The alleged person I am matched with was given $0.25 and had it quadrupled, and chose to give it to me. They do not know anything about my decisions.",4.671,4.671,13.43,1,0,"There's no responsibility or accountability, reciprocity, or real-world reason that I would reduce the amount that I am compensated. There is no moral component -- just hypotheticals on a screen.","Some experience","I don't know anything about that hypothetical person except that the study states that they were generous rather than not-generous.","I wonder if it is some sort of reciprocity study. Doing it in text is flawed, though. Human faces make a difference to most people.","No, I would like to complete the study.",3187,"Spanish, English",42,"Female","White","United States","United States","United States","English","No","Full-Time"
1026,"Need","Delay",2023-08-20 17:24:11,2023-08-20 17:29:35,2023-08-20 17:29:36,323,"I consent to participate in this study. Take me to the study.",0.89,"You would earn $0.75, and the other person would earn $0.25","they lack access to food and uses the soup kitchen",11.706,13.465,15.538,2,1,"I dont have to use a soup kitchen and have access to food. seems like the other person would benefit more","Some experience","does not have regular access to food and frequently uses a soup kitchen","determine how much we would be willing to share if we knew any info about the other person","No, I would like to complete the study.",925,"English",29,"Female","Mixed","United States","United States","United States","English","No","Full-Time"
1027,"Control","Pressure",2023-08-20 17:26:28,2023-08-20 17:29:52,2023-08-20 17:29:52,203,"I consent to participate in this study. Take me to the study.",0.75,"You would earn $0.75, and the other person would earn $0.25","I know nothing other than that they use prolific",1.806,1.806,3.147,1,0.06,"I am not sure they are real","No experience","that they use prolific","greed","No, I would like to complete the study.",2097,"English",38,"Male","White","United States","United States","United States","English",NA,NA
1028,"Need","Pressure",2023-08-20 17:26:21,2023-08-20 17:30:19,2023-08-20 17:30:20,238,"I consent to participate in this study. Take me to the study.",0.73,"You would earn $0.75, and the other person would earn $0.25","The person I'm matched with is someone who does not get food regularly and has to take their meals at a local soup kitchen.",1.998,1.998,3.061,1,1,"because the other person needs the money more than I do.","Some experience","I was told that they are someone who does not have regular access to food and therefore has to take meals at a local soup kitchen.","how compassionate I am.","No, I would like to complete the study.",463,"English",54,"Male","White","United States","United States","United States","English","No","Full-Time"
1029,"Need","Delay",2023-08-20 17:26:18,2023-08-20 17:30:21,2023-08-20 17:30:21,242,"I consent to participate in this study. Take me to the study.",0.59,"You would earn $0.75, and the other person would earn $0.25","They usually can't afford to buy food so they go to a soup kitchen.",3.715,6.497,14.697,2,0.5,"It was the most equal decision possible, I get half and they get half.","Some experience","They don't usually have access to food so they frequenr soup kitchens.","People's perceptions of giving money to people in need.","No, I would like to complete the study.",1916,"English",20,"Male","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)"
1030,"Debt","Delay",2023-08-20 17:26:34,2023-08-20 17:30:32,2023-08-20 17:30:32,238,"I consent to participate in this study. Take me to the study.",0.59,"You would earn $0.75, and the other person would earn $0.25","they were given .25 cents and asked if they wanted to quadruple it and send it to me. they said yes.",8.74,15.201,23.282,2,0.3,"i gave them a little bit more than they originally had. seems fair enough","Some experience","they originally had .25 cents and if they gave it to me it quadrupled in value.","how generous people are","No, I would like to complete the study.",1298,"English",36,"Male","White","United States","United States","United States","English","No","Full-Time"
1031,"Control","Delay",2023-08-20 17:27:19,2023-08-20 17:32:27,2023-08-20 17:32:27,307,"I consent to participate in this study. Take me to the study.",0.66,"You would earn $0.75, and the other person would earn $0.25","They're an anonymous and random person from prolific.",12.953,19.132,20.633,2,0.5,"I wanted to be fair and I didn't want to feel guilty for giving a low amount.","A lot of experience","They're an anonymous, random person from prolific.","Testing how much people are willing to share with random strangers,","No, I would like to complete the study.",1698,"English",36,"Male","Black","United States","United States","United States","English","No","Full-Time"
1032,"Need","Delay",2023-08-20 17:27:49,2023-08-20 17:32:35,2023-08-20 17:32:35,285,"I consent to participate in this study. Take me to the study.",0.35,"You would earn $0.75, and the other person would earn $0.25","The other person relies on soup kitchens for many of their meals.",14.506,14.506,15.894,1,1,"$1 in this context doesn't change my economic situation. It probably doesn't for the other person, but it could mean access to bus fare, water, a snack.","Some experience","They lack regular access to food and get several meals from soup kitchens.","How taking time to pause and consider the decision might change someone's desire to be altruistic.","No, I would like to complete the study.",273,"English",28,"Female","Mixed","United States","United States","United States","English",NA,"Full-Time"
1033,"Need","Pressure",2023-08-20 17:27:55,2023-08-20 17:32:54,2023-08-20 17:32:55,299,"I consent to participate in this study. Take me to the study.",0.57,"You would earn $0.75, and the other person would earn $0.25","The other participant does not have regular access to food. They receive a majority of meals from a local soup kitchen.",3.183,3.183,4.109,1,0,"I choose the amount I did because everyone is having hard times right now.","Some experience","The other person does not have regular access to food. The participant gets some of their meals from a soup kitchen.","How generous people are.","No, I would like to complete the study.",2867,"English",45,"Female","White","United States","United States","United States","English",NA,NA
1034,"Control","Pressure",2023-08-20 17:24:10,2023-08-20 17:33:03,2023-08-20 17:33:04,533,"I consent to participate in this study. Take me to the study.",0.55,"You would earn $0.75, and the other person would earn $0.25","I will be matched with a random person on prolific who won't know who I am and I won't know who they are.",3.318,3.318,4.192,1,0.25,"I had to go fast and it was the first amount I thought of","Some experience","It was a random person from prolific","how much people are willing to give with the money they are supposed to receive","No, I would like to complete the study.",815,"English",28,"Male","White","United States","United States","United States","English",NA,NA
1035,"Control","Pressure",2023-08-20 17:26:53,2023-08-20 17:33:14,2023-08-20 17:33:14,380,"I consent to participate in this study. Take me to the study.",0.51,"You would earn $0.75, and the other person would earn $0.25","I have a bonus they don't. If I were to give them 25 cents of my bonus I would earn 75 cents and they would earn 25.",2.096,2.096,3.254,1,0.5,"I like to be fair and give out half of what I earned if someone hasn't earned anything at all while we're heading for the same end goal. Fairness can never hurt you","Some experience","I was told that I had a bonus and I was partnered with someone that didn't. I was then told I could choose to share the money or not.","I believe the study was trying to show the decisions people make when money is involved. Whether they would believe in being fair or just take their money and keep it.","No, I would like to complete the study.",268,"English",23,"Female","Black","United States","United States","United States","English",NA,NA
1036,"Control","Pressure",2023-08-20 17:29:46,2023-08-20 17:33:45,2023-08-20 17:33:46,239,"I consent to participate in this study. Take me to the study.",0.61,"You would earn $0.75, and the other person would earn $0.25","A real participant from prolific who was randomly chosen and will remain anonymous",1.77,1.77,2.957,1,0,"Because I would rather keep the full amount for myself than share with a faceless person","Some experience","You told me it was a randomly chosen anonymous prolific participant","Selflessness/how much people will give away based on descriptions of others","No, I would like to complete the study.",2825,"English",25,"Female","White","United States","United States","United States","English","No","Full-Time"
1037,"Debt","Pressure",2023-08-20 17:28:04,2023-08-20 17:33:49,2023-08-20 17:33:49,344,"I consent to participate in this study. Take me to the study.",0.18,"You would earn $0.75, and the other person would earn $0.25","The reason why I have a dollar is because the other player in this task gave up their whole 25 cents to give me a dollar (as the amount was multiplied by 4).",1.164,1.968,3.798,2,0.3,"It seemed reasonable - they ended up with more than what they would have gotten had they kept the original 25 cents and I got a good amount too.","A lot of experience","The person was given 25 cents originally and had to choose how much to give me, the other player. The amount given was multiplied by 4. The person gave all of their amount.","How I would respond to pro-social behavior under time constraint.","No, I would like to complete the study.",2456,"English",33,"Male","White","United States","United States","United States","English",NA,NA
1038,"Need","Pressure",2023-08-20 17:28:02,2023-08-20 17:34:03,2023-08-20 17:34:04,361,"I consent to participate in this study. Take me to the study.",0.92,"You would earn $0.75, and the other person would earn $0.25","They lack regular access to food",3.27,6.969,8.288,3,1,"They need the money more than me","Some experience","they lack regular access to food and have meals at a soup kitchen","How the information you provide about the other person impacts decisions about how much money to give","No, I would like to complete the study.",130,"English",29,"Female","White","United States","United States","United States","English",NA,NA
1039,"Debt","Delay",2023-08-20 17:29:44,2023-08-20 17:34:12,2023-08-20 17:34:12,268,"I consent to participate in this study. Take me to the study.",0.57,"You would earn $0.75, and the other person would earn $0.25","they were given .25 and given the option to multiply by 4 and give to me.  they made that choice",12.576,12.576,21.024,1,0.09,"I need the money, but i wanted to give them something","Some experience","they were given .25 and given the choice to multiply by 4 and give to me.  They made that choice.  There was no demographic info given.","If my decision was influenced by my partners decision.  I'm pretty sure there is no real partner.","No, I would like to complete the study.",2056,"English",55,"Male","White","United States","United States","United States","English","No",NA
1040,"Control","Delay",2023-08-20 17:28:51,2023-08-20 17:34:19,2023-08-20 17:34:20,328,"I consent to participate in this study. Take me to the study.",0.69,"You would earn $0.25, and the other person would earn $0.75","The other participant is anonymous and has been randomly chosen.",19.095,25.416,28.205,4,0.2,"I felt it was better than taking the whole dollar and not sharing it.","Some experience","The person was random and picked anonymously.  They obviously would be someone else on the platform.","Willingness to share?","No, I would like to complete the study.",2105,"English",47,"Male","White","United States","United States","United States","English",NA,NA
1041,"Control","Delay",2023-08-20 17:27:13,2023-08-20 17:34:39,2023-08-20 17:34:39,445,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","I was match with an mystery prolific user who i will never know and they will never know me.",14.372,14.372,16.702,1,0.5,"I chose to split it in half, was just simply thinking about what would be equal and possibly fair.","Some experience","That the person was random and anonymous.","economic decisions","No, I would like to complete the study.",190,"English",25,"Male","Black","United States","United States","United States","English",NA,NA
1042,"Need","Pressure",2023-08-20 17:31:53,2023-08-20 17:35:31,2023-08-20 17:35:31,217,"I consent to participate in this study. Take me to the study.",0.77,"You would earn $0.75, and the other person would earn $0.25","They do not have regular access to food and rely on charity",1.622,3.682,5.016,4,0,"I do not believe there is a real person involved","Some experience","They did not have regular access to food and relied on a local soup kitchen","how different stated circumstances of a supposed person make participants change their sharing behaviours","No, I would like to complete the study.",1174,"English",26,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1043,"Debt","Pressure",2023-08-20 17:32:11,2023-08-20 17:36:01,2023-08-20 17:36:02,230,"I consent to participate in this study. Take me to the study.",0.46,"You would earn $0.75, and the other person would earn $0.25","If I give them 25 cents, they have 25 cents and I have 75 cents. If they multiply by 4 and give me the earnings, I have a dollar.",3.856,3.856,4.683,1,0.12,"Because I want more money but also want the other player to have a bit","Some experience","The other person starts with 0 cents and I have a dollar. If I give them 25 cents I have 75 cents. If they multiply that times 4 I get a dollar.","Perceptions about how much people give to others versus what they keep.","No, I would like to complete the study.",1208,"English",34,"Male","White","United States","United States","United States","English",NA,NA
1044,"Debt","Delay",2023-08-20 17:32:19,2023-08-20 17:36:18,2023-08-20 17:36:19,238,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","They were given .25c and asked if they would like to multiply it by four and give it to me.",4.401,11.129,15.816,4,0.5,"Assuming the other person is real it seems reasonable to give them half of the bonus, so that way we both gain benefit from the scenario.","Some experience","They were a random anonymous person given 25 cents and asked if they would like to multiply it by four and transfer it to me.","Whether or not people would keep 100% of the money when given the anonymous choice to do so","No, I would like to complete the study.",264,"English",31,"Male","White","United States","United States","United States","English","No",NA
1045,"Control","Delay",2023-08-20 17:31:10,2023-08-20 17:36:36,2023-08-20 17:36:36,326,"I consent to participate in this study. Take me to the study.",0.45,"You would earn $0.75, and the other person would earn $0.25","They are a fellow Prolific user and they will never know who I am and I will never know who they are.",16.409,16.409,18.327,1,0.5,"It is only fair to split 50-50, this person needs this money as much as I do.","Some experience","They are a random anonymous Prolific user, I will never know their identity and they will never know mine","My guess is that the control group does not have the 10 second waiting period and you're trying to see how people behave when they have to make a more deliberate choice","No, I would like to complete the study.",777,"English",21,"Female","White","United States","United States","United States","English","Yes","Other"
1046,"Need","Delay",2023-08-20 17:33:00,2023-08-20 17:36:48,2023-08-20 17:36:50,228,"I consent to participate in this study. Take me to the study.",0.42,"You would earn $0.25, and the other person would earn $0.75","They do not have a lot of income, given that they frequent the soup kitchen.",19.037,19.037,20.691,1,0,"$1 is not going to help them in any appreciable way.","Some experience","They lacked regular access to food, frequenting the soup kitchen.","Are people more willing to give if the recipient is poor (potentially vs rich/well off, or differing kinds of poverty)?","No, I would like to complete the study.",1772,"English",23,"Female","White","United States","United States","United States","English","No","Full-Time"
1047,"Debt","Delay",2023-08-20 17:33:50,2023-08-20 17:37:19,2023-08-20 17:37:19,208,"I consent to participate in this study. Take me to the study.",0.55,"You would earn $0.75, and the other person would earn $0.25","They were initially given $0.25, then asked if they wanted to send that amount to another person, knowing it would be multiplied by 4, and they said yes.",6.638,7.414,13.426,2,0,"I wanted to earn the highest amount for myself.","A lot of experience","They were given $0.25 and asked if they wanted to send it to another person, knowing it would be multiplied by 4, and they said yes.","I don't know.","No, I would like to complete the study.",3882,"English",29,"Male","White","United States","United States","United States","English","No","Other"
